id,cityDistrict,city,region,country,latitude,longitude
loc-dolenjske-toplice-southeast-slovenia,NULL,Dolenjske Toplice,Southeast Slovenia,Slovenia,45.7566,15.0592
loc-kobarid-gorizia,NULL,Kobarid,Gorizia,Slovenia,46.2476,13.5791
loc-bovec-gorizia,NULL,Bovec,Gorizia,Slovenia,46.3375,13.5528
loc-gorizia,NULL,Gorizia,NULL,Slovenia,45.9560,13.6484
loc-cerkno-gorizia,NULL,Cerkno,Gorizia,Slovenia,46.1286,13.9897
loc-brda-gorizia,NULL,Brda,Gorizia,Slovenia,45.9978,13.5264
loc-kuzma-mura,NULL,Kuzma,Mura,Slovenia,46.8350,16.0839
loc-mislinja-carinthia,NULL,Mislinja,Carinthia,Slovenia,46.4417,15.2000
loc-koper-coastal-karst,NULL,Koper,Coastal-Karst,Slovenia,45.5481,13.7302
loc-coastal-karst,NULL,Coastal-Karst,NULL,Slovenia,45.5481,13.7302
loc-piran-coastal-karst,NULL,Piran,Coastal-Karst,Slovenia,45.5283,13.5683
loc-trbovlje-central-sava-pilon-granma,NULL,Trbovlje,Central Sava,Slovenia,46.1550,15.0533
loc-dobrova-polhov-gradec-central-slovenia,NULL,Dobrova-Polhov Gradec,Central Slovenia,Slovenia,46.0670,14.3160
loc-moravce-central-slovenia,NULL,Moravče,Central Slovenia,Slovenia,46.1369,14.7450
loc-maribor-drava-ljubljana-central-slovenia,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-bled-upper-carniola,NULL,Bled,Upper Carniola,Slovenia,46.3683,14.1146
loc-ormoz-drava,NULL,Ormož,Drava,Slovenia,46.4114,16.1544
loc-gorisnica-drava,NULL,Gorišnica,Drava,Slovenia,46.4114,16.0133
loc-starse-drava,NULL,Starše,Drava,Slovenia,46.4656,15.7672
loc-duplek-drava,NULL,Duplek,Drava,Slovenia,46.5147,15.7453
loc-trnovska-vas-drava,NULL,Trnovska Vas,Drava,Slovenia,46.5200,15.8861
loc-maribor-drava-slovenska-bistrica-drava,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-gorisnica-drava-ptuj-drava,NULL,Gorišnica,Drava,Slovenia,46.4114,16.0133
loc-vransko-savinja,NULL,Vransko,Savinja,Slovenia,46.2439,14.9514
loc-godovic-gorizia,NULL,Godovič,Gorizia,Slovenia,45.9578,14.0806
