id,JobId,SkillId
js-000436,job-00195,sk-warehouse-operations
js-000437,job-00196,sk-warehouse-operations
js-000438,job-00197,sk-production-work
js-000439,job-00198,sk-production-work
js-000440,job-00199,sk-production-work
js-000441,job-00200,sk-production-work
js-000442,job-00201,sk-nursing
js-000443,job-00202,sk-nursing
js-000444,job-00203,sk-nursing
js-000445,job-00204,sk-nursing
js-000446,job-00205,sk-nursing
js-000447,job-00206,sk-nursing
js-000448,job-00207,sk-nursing
js-000449,job-00208,sk-nursing
js-000450,job-00209,sk-nursing
js-000451,job-00210,sk-nursing
js-000452,job-00211,sk-nursing
js-000453,job-00212,sk-nursing
js-000454,job-00213,sk-nursing
js-000455,job-00214,sk-nursing
js-000456,job-00215,sk-nursing
js-000457,job-00216,sk-nursing
js-000458,job-00217,sk-nursing
js-000459,job-00218,sk-nursing
js-000460,job-00219,sk-nursing
js-000461,job-00220,sk-nursing
js-000462,job-00221,sk-nursing
js-000463,job-00222,sk-nursing
js-000464,job-00223,sk-nursing
js-000465,job-00224,sk-nursing
js-000466,job-00225,sk-nursing
js-000467,job-00225,sk-patient-care
js-000468,job-00226,sk-nursing
js-000469,job-00227,sk-nursing
js-000470,job-00228,sk-nursing
js-000471,job-00229,sk-nursing
js-000472,job-00230,sk-medicine
js-000473,job-00230,sk-nursing
js-000474,job-00231,sk-nursing
js-000475,job-00231,sk-patient-care
js-000476,job-00231,sk-slovenian-language
js-000477,job-00232,sk-nursing
js-000478,job-00233,sk-nursing
js-000479,job-00233,sk-patient-care
js-000480,job-00234,sk-nursing
js-000481,job-00235,sk-nursing
js-000482,job-00236,sk-nursing
js-000483,job-00236,sk-patient-care
js-000484,job-00237,sk-nursing
js-000485,job-00238,sk-nursing
js-000486,job-00238,sk-patient-care
js-000487,job-00239,sk-nursing
js-000488,job-00239,sk-patient-care
js-000489,job-00240,sk-nursing
js-000490,job-00241,sk-nursing
js-000491,job-00241,sk-patient-care
js-000492,job-00242,sk-nursing
js-000493,job-00243,sk-nursing
js-000494,job-00244,sk-nursing
js-000495,job-00245,sk-nursing
js-000496,job-00246,sk-nursing
js-000497,job-00247,sk-nursing
js-000498,job-00248,sk-nursing
js-000499,job-00248,sk-patient-care
js-000500,job-00249,sk-nursing
js-000501,job-00250,sk-nursing
js-000502,job-00251,sk-nursing
js-000503,job-00252,sk-nursing
js-000504,job-00253,sk-nursing
js-000505,job-00253,sk-patient-care
js-000506,job-00254,sk-nursing
js-000507,job-00254,sk-patient-care
js-000508,job-00255,sk-nursing
js-000509,job-00256,sk-nursing
js-000510,job-00257,sk-nursing
js-000511,job-00258,sk-nursing
js-000512,job-00259,sk-nursing
js-000513,job-00259,sk-patient-care
js-000514,job-00260,sk-general-work
js-000515,job-00261,sk-nursing
js-000516,job-00262,sk-nursing
js-000517,job-00263,sk-nursing
js-000518,job-00264,sk-nursing
js-000519,job-00265,sk-nursing
js-000520,job-00266,sk-nursing
js-000521,job-00267,sk-nursing
js-000522,job-00268,sk-nursing
js-000523,job-00269,sk-nursing
js-000524,job-00270,sk-nursing
js-000525,job-00271,sk-nursing
js-000526,job-00272,sk-nursing
js-000527,job-00273,sk-general-work
js-000528,job-00274,sk-nursing
js-000529,job-00275,sk-nursing
js-000530,job-00276,sk-nursing
js-000531,job-00277,sk-nursing
js-000532,job-00278,sk-nursing
js-000533,job-00279,sk-nursing
js-000534,job-00280,sk-general-work
js-000535,job-00281,sk-nursing
js-000536,job-00282,sk-nursing
js-000537,job-00283,sk-nursing
js-000538,job-00284,sk-nursing
js-000539,job-00285,sk-general-work
js-000540,job-00286,sk-general-work
js-000541,job-00287,sk-nursing
js-000542,job-00288,sk-nursing
js-000543,job-00289,sk-general-work
js-000544,job-00290,sk-general-work
js-000545,job-00291,sk-nursing
js-000546,job-00292,sk-nursing
js-000547,job-00293,sk-nursing
js-000548,job-00294,sk-nursing
js-000549,job-00295,sk-nursing
js-000550,job-00296,sk-nursing
js-000551,job-00297,sk-general-work
js-000552,job-00298,sk-nursing
js-000553,job-00299,sk-nursing
js-000554,job-00300,sk-nursing
js-000555,job-00300,sk-patient-care
js-000556,job-00301,sk-nursing
js-000557,job-00302,sk-nursing
js-000558,job-00302,sk-patient-care
js-000559,job-00303,sk-nursing
js-000560,job-00303,sk-patient-care
js-000561,job-00304,sk-nursing
js-000562,job-00305,sk-nursing
js-000563,job-00306,sk-nursing
js-000564,job-00307,sk-nursing
js-000565,job-00307,sk-patient-care
js-000566,job-00308,sk-medicine
js-000567,job-00308,sk-nursing
js-000568,job-00309,sk-nursing
js-000569,job-00309,sk-patient-care
js-000570,job-00310,sk-nursing
js-000571,job-00310,sk-patient-care
js-000572,job-00311,sk-medicine
js-000573,job-00311,sk-nursing
js-000574,job-00311,sk-patient-care
js-000575,job-00312,sk-nursing
js-000576,job-00313,sk-nursing
js-000577,job-00314,sk-nursing
js-000578,job-00315,sk-nursing
js-000579,job-00315,sk-slovenian-language
js-000580,job-00316,sk-nursing
js-000581,job-00316,sk-slovenian-language
js-000582,job-00317,sk-nursing
js-000583,job-00318,sk-nursing
js-000584,job-00319,sk-nursing
js-000585,job-00320,sk-nursing
